Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1976-04,722115.2,211662.7,127242.7,,,84420,,,510452.6,164873.1,138764.5,,,,,,,,,106275.6,,,,,100539.4,,,,93268.4,,2796.7,41039.1,891037,755381.8,,,66050.8,,19915.5,835277.2,55759.9
1976-05,726556,211059.4,125696.3,,,85363.1,,,515496.6,165842.5,139994.9,,,,,,,,,107699.5,,,,,101959.6,,,,94217.9,,2823.6,41401.4,892294.4,754077.3,,,66583.2,,21199.8,835669.2,56625.2
1976-06,733059.5,211654.7,125233.3,,,86421.4,,,521404.8,166649,141047.2,,,,,,,,,109260,,,,,104448.6,,,,96758.8,,3133.7,40596.4,902076,766869.9,,,64075.5,,20322.8,844767.4,57308.6
1976-07,733695.3,210550,123320.5,,,87229.5,,,523145.4,166437,142387.2,,,,,,,,,110721.8,,,,,103599.4,,,,97110.5,,2992,43373.9,905343.2,768175.5,,,65764.8,,20105.8,847128,58215.2
1976-08,739038.9,212689.4,125380.8,,,87308.6,,,526349.5,165978.9,143839.4,,,,,,,,,112404.8,,,,,104126.4,,,,93034.3,,2637.9,41331.8,905842.3,763085.5,,,70526.1,,20231.4,846841.3,59001
1976-09,744370.5,214001.9,126090.8,,,87911,,,530368.7,167296.1,145373.9,,,,,,,,,113742.1,,,,,103956.5,,,,95090.3,,2515.9,41746.6,917430.8,773734.5,,,72418.2,,20191.2,858999,58431.7
1976-10,751908.2,215767.6,127339.4,,,88428.3,,,536140.5,168809.5,146670.8,,,,,,,,,114786.3,,,,,105873.9,,,,99625,,2584.1,42084.9,930085.8,783933.1,,,75536.6,,19319.9,871247.8,58838.1
1976-11,759967.6,219500.6,130802.6,,,88698,,,540467,170925.1,147909.3,,,,,,,,,115541.7,,,,,106091,,,,101197,,2536,43647.4,941758.4,790200,,,79557.5,,19369.2,881484.1,60274.3
1976-12,771784,224558.8,136153.6,,,88405.2,,,547225.2,173249.6,148870.8,,,,,,,,,116612.2,,,,,108492.6,,,,106548.7,,2554.2,44594.2,963965.6,810039,,,83245.4,,19909.8,904971,58994.6
1977-01,770112.8,224524.6,136833,,,87691.6,,,545588.1,171900,149992.3,,,,,,,,,117544,,,,,106151.8,,,,99480.4,,2524.7,45043.8,954184.9,805894.6,,,78564.2,,19629.6,895262.6,58922.3
1977-02,772828.9,225658.4,137797.1,,,87861.2,,,547170.5,172295,151341.8,,,,,,,,,118009.5,,,,,105524.2,,,,96970.5,,2433,46853.5,953290.3,799430.4,,,80086.9,,21298.1,892516.2,60774.1
1977-03,781696.7,228657.1,141201.8,,,87455.3,,,553039.6,175028.6,152884.8,,,,,,,,,119058.5,,,,,106067.8,,,,96766.8,,2597.9,46307.7,962914.5,808339.2,,,80470.9,,22344.8,902513.3,60401.2
1977-04,791151.6,230629.9,141219.1,,,89410.9,,,560521.6,177162.7,155001.2,,,,,,,,,121171.8,,,,,107185.9,,,,97993.3,,2693.6,46194.1,975401.2,820878.1,,,83159.9,,22244.9,916673.5,58727.7
1977-05,798937.2,229722.5,138334.2,,,91388.2,,,569214.7,178706.8,157618.7,,,,,,,,,123915.3,,,,,108973.9,,,,101277.2,,2562.7,45150.7,981646.1,821812.2,,,86284,,24188.6,922758.2,58887.9
1977-06,807020.6,230393.4,138661.3,,,91732.2,,,576627.1,180553.9,159999.2,,,,,,,,,126282.7,,,,,109791.3,,,,101598.3,,2652.9,44570.2,991780.1,834016.8,,,83887.8,,24243.8,932253,59527
1977-07,812306.1,228463.5,135730.8,,,92732.6,,,583842.7,181716.5,162791,,,,,,,,,128768.2,,,,,110567,,,,104733.8,,2655.5,44289.8,999691.1,841435.6,,,86577.6,,22898.1,940375.4,59315.8
1977-08,819155.9,228164.8,135065.3,,,93099.5,,,590991.1,182761.1,165773.7,,,,,,,,,131238.1,,,,,111218.3,,,,100471.7,,2475.7,42680.9,1000777.1,837898.4,,,86889.9,,24049.3,939206.2,61570.8
1977-09,826608.8,228850.6,134943.1,,,93907.5,,,597758.2,184199.1,168240.3,,,,,,,,,133459.8,,,,,111859.1,,,,102073.7,,2690,44035,1013670.1,848546.6,,,89472.5,,23780.9,952025.8,61644.3
1977-10,833675.2,227719.5,132720.8,,,94998.7,,,605955.7,186815.8,170981.4,,,,,,,,,135261.7,,,,,112896.8,,,,106461.3,,2771.5,43456.2,1024853.2,859608.1,,,90635.3,,22716,963171.7,61681.5
