Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1990-02,1881676.5,373736.2,259635.9,,,114100.3,,,1507940.3,424879.7,577405,,48685.4,,,,,,,362981.8,,,,,142673.9,,,49354.5,187928.3,,35255.5,146143.2,2341590.8,1718515.7,281216.8,1437298.9,365235.5,,44747.4,2106612.3,234978.4
1990-03,1884466.3,373098.5,261098.7,,,111999.8,,,1511367.7,428255.6,582379.7,,49151.8,,,,,,,359852.8,,,,,140879.7,,,49305.5,185110.7,,35673.3,147230.3,2343811,1722956.1,282103.6,1440852.6,365011.6,,51785.9,2119143.7,224667.3
1990-04,1890040.8,372168.1,261338,,,110830.1,,,1517872.7,431362.7,587231.9,,49892.4,,,,,,,358526.4,,,,,140751.7,,,48322.4,189110.3,,35469.9,149697.4,2360410.5,1738183.9,278908.6,1459275.3,366156.7,,44086.9,2131676,228734.6
1990-05,1898383.5,373399.2,262900.3,,,110498.9,,,1524984.3,430591.7,594419.8,,50863.9,,,,,,,360635.4,,,,,139337.4,,,48641.7,186592.2,,36483.8,149453.8,2349152.8,1729811.3,277590.4,1452220.9,358414.5,,56328.6,2132578.3,216574.6
1990-06,1906396.9,376516.3,267438.7,,,109077.6,,,1529880.6,428351.9,599958.9,,51804.9,,,,,,,360196.1,,,,,141373.7,,,48029.2,189394.4,,35463.1,153056.5,2373432.5,1746461.1,276134.8,1470326.3,362305.2,,52131.4,2147493.6,225938.9
1990-07,1907485.9,377580.5,269755.5,,,107825,,,1529905.4,426526.1,606285.7,,52894.1,,,,,,,356860.5,,,,,140233.1,,,46447.6,188513,,34706.5,156709.6,2383808.6,1758703.2,277243.3,1481459.9,353110.9,,54817,2155437.6,228371
1990-08,1918748.1,382326.9,273559.4,,,108767.5,,,1536421.1,425321.1,609957.3,,54162,,,,,,,359976,,,,,141166.7,,,46458.5,183457.9,,35637.6,158820.1,2405349.2,1760188.4,276289.9,1483898.5,364420.7,,46350.1,2161060.4,244288.8
1990-09,1923508.5,384991.1,276258,,,108733.1,,,1538517.4,423174.7,612617.1,,55089.5,,,,,,,362121.8,,,,,140603.8,,,46447.7,184376.7,,34008.7,164984,2412294,1765826.4,273410.1,1492416.3,361237.7,,39670.3,2157853.8,254440.2
1990-10,1927531.2,386083.8,278910,,,107173.8,,,1541447.4,422857.7,616050.3,,56566.6,,,,,,,362133.9,,,,,140405.5,,,47618.3,179746.6,,35204.4,163150.8,2401320.5,1765176.3,271439.9,1493736.4,352123.7,,42892,2149938,251382.5
1990-11,1930846.3,386783.4,279783.6,,,106999.8,,,1544062.9,423285.4,620041.5,,57334.6,,,,,,,361641.2,,,,,139094.8,,,48580.3,183569.8,,37222.1,159513.9,2408804.4,1774244.8,270037.4,1504207.4,352817.6,,30256.5,2142714.9,266089.4
1990-12,1932251.5,382477.3,276402.7,,,106074.6,,,1549774.2,421606.1,623019.4,,57753.1,,,,,,,365606.5,,,,,139542.2,,,48898.8,187100.3,,37488.5,158153.1,2414459.6,1799236.7,266691.4,1532545.4,337005.1,,44261.1,2157098.5,257361.1
1991-01,1919070.7,383706.2,277082.8,,,106623.4,,,1535364.5,415769.6,622183.6,,58093,,,,,,,360777.1,,,,,136634.2,,,50074.9,176879.2,,37021.2,162443,2383860,1778605.1,263331.1,1515274.1,329747.1,,47346,2130190.6,253669.4
1991-02,1923962.9,390120.8,282501.5,,,107619.4,,,1533842.1,416694.9,623556.5,,58843.8,,,,,,,357540.4,,,,,136050.3,,,49902.4,170410.4,,36475.9,168516.7,2395718.6,1776726.2,260824.6,1515901.6,335554.9,,40429,2131096.5,264622.1
1991-03,1928946.9,396782.8,287405.8,,,109377,,,1532164.1,415750.6,626494.4,,59348.2,,,,,,,355150.2,,,,,134768.8,,,49930.7,172507.6,,36957.8,170667,2402301,1786319.2,256325,1529994.2,324689.3,,43378.5,2139442.7,262858.3
1991-04,1932477.7,399850,291037.9,,,108812.1,,,1532627.7,413734.8,629804.7,,60095.6,,,,,,,354581.2,,,,,134507,,,49876.4,176559.1,,33332.5,173391,2411107.6,1801372.9,251692.8,1549680.1,317402.3,,29260.6,2138630.6,272477
1991-05,1931490.5,400829.1,292926,,,107903.1,,,1530661.4,409195.5,632206.2,,60894.7,,,,,,,354978.8,,,,,134280.9,,,49629.3,174645.6,,33139.5,170888.4,2393617.7,1792117,247750.7,1544366.3,310331.5,,38912.4,2131400.5,262217.2
1991-06,1928312.9,403974.5,297050.3,,,106924.2,,,1524338.4,404382,633819.4,,61532.1,,,,,,,352886.1,,,,,133250.9,,,49384.1,173794.7,,31426.5,170085.2,2393956.2,1798230.4,242727.3,1555503.1,309635.1,,30575.7,2124426.3,269530
1991-07,1919227.6,405907.6,300350.4,,,105557.2,,,1513320,398595.2,632959.5,,61867.2,,,,,,,350276.3,,,,,131488.9,,,48961.5,172038.7,,31521.3,171022.2,2382450.1,1799083.6,238086.1,1560997.5,300821.3,,28489.4,2113602,268848.1
1991-08,1919997,411925.9,306974.6,,,104951.3,,,1508071.1,393182.1,632306.3,,62559,,,,,,,351186.7,,,,,131396,,,49612.1,172938.6,,33285.7,169358,2389714.9,1806011.7,235791.5,1570220.2,301289.9,,30387.1,2122439,267275.9
1991-09,1926923.8,420759.3,315674.4,,,105084.8,,,1506164.6,391430.1,632702,,63437.5,,,,,,,351862.2,,,,,130170.2,,,50049.8,177945.3,,32873.9,170477.5,2405061.3,1810479.6,230637.7,1579841.9,312679.7,,33170,2142304.7,262756.6
1991-10,1930200.2,428441,322955,,,105486,,,1501759.2,390368.2,632209.7,,64013.1,,,,,,,348582.1,,,,,130599.2,,,49253.2,175603.2,,31235.9,172562.3,2404108.7,1809936.5,225207.1,1584729.5,313603.2,,25250,2135822.3,268286.5
1991-11,1937925.9,436484.7,331144.9,,,105339.9,,,1501441.1,387841.7,633892.7,,64439.2,,,,,,,348312.5,,,,,131394.2,,,49592,185151.2,,32920.8,170169,2423594.4,1829568.8,220792.3,1608776.5,312762.5,,25133.6,2153726,269868.5
1991-12,1939555.7,438375.1,332836.2,,,105538.9,,,1501180.6,383167,634229.2,,64864,,,,,,,351988.3,,,,,131796.1,,,49769.5,189719.4,,33930,165574.6,2423814.2,1838507.8,215757.8,1622750,306055,,34092,2161793.4,262020.8
1992-01,1933063,441901.2,337294.2,,,104606.9,,,1491161.8,376025.4,633214.2,,65055.9,,,,,,,351360.4,,,,,130561.8,,,49424.9,183483.3,,34207.7,160750.5,2423503.6,1828676.9,209997.3,1618679.6,319521.1,,12052.2,2143852.7,279650.9
1992-02,1934249,450092.4,346354.7,,,103737.7,,,1484156.6,374770.2,632526.6,,64813.7,,,,,,,347110.7,,,,,129749,,,50102.4,179004.8,,31856.2,159360.6,2420852.6,1825121.7,206757.3,1618364.4,323029,,6635.6,2141855,278997.6
1992-03,1936086.5,454453.2,351973.8,,,102479.4,,,1481633.3,375139.9,632603.8,,64595.8,,,,,,,342879.5,,,,,131010.2,,,50384.5,180913.8,,32238.8,159678.9,2420387.1,1834657.1,201579.1,1633078,315334.8,,27896.1,2165836.9,254550.3
1992-04,1937682.2,455674,353014.6,,,102659.4,,,1482008.2,373324.6,637710.8,,65145.8,,,,,,,341892.9,,,,,129079.9,,,49706.5,176462.5,,32264.9,162855.9,2420463.7,1838905.4,198023.5,1640882,313728.7,,31347.7,2168673.7,251790
