Time Period,Bank credit,Securities in bank credit,Treasury and agency securities,Treasury and agency securities: Mortgage-backed securities (MBS),Treasury and agency securities: Non-MBS,Other securities,Other securities: Mortgage-backed securities,Other securities: Non-MBS,Loans and leases in bank credit,Commercial and industrial loans,Real estate loans,Real estate loans: Residential real estate loans,Real estate loans: Residential real estate loans: Revolving home equity loans,Real estate loans: Residential real estate loans: Closed-end residential loans,Real estate loans: Commercial real estate loans,Real estate loans: Commercial real estate loans: Construction and land development loans,Real estate loans: Commercial real estate loans: Secured by farmland,Real estate loans: Commercial real estate loans: Secured by multifamily properties,Real estate loans: Commercial real estate loans: Secured by nonfarm nonresidential properties,Consumer loans,Consumer loans: Credit cards and other revolving plans,Consumer loans: Other consumer loans,Consumer loans: Other consumer loans: Automobile loans,Consumer loans: Other consumer loans: All other consumer loans,Other loans and leases: All other loans and leases,Other loans and leases: All other loans and leases: Loans to nondepository financial institutions,Other loans and leases: All other loans and leases: Other loans not elsewhere classified,LESS: Allowance for loan and lease losses,Cash assets,Total fed funds sold and securities purchased under agreements to resell,Loans to commercial banks,Other assets,Total assets,Deposits,Large time deposits,Other deposits,Borrowings,Net due to related foreign offices,Other liabilities,Total liabilities,Residual (assets less liabilities)
1949-07,110927.6,72519.3,65213.9,,,7305.4,,,38408.3,14021.2,10428.4,,,,,,,,,7348.6,,,,,,,,,,,,,,,,,,,,,
1949-08,113145.9,74682.6,67206,,,7476.5,,,38463.3,13923,10493.3,,,,,,,,,7485.7,,,,,,,,,,,,,,,,,,,,,
1949-09,114198.1,75690.3,68103.7,,,7586.6,,,38507.8,13824.6,10557.3,,,,,,,,,7623.2,,,,,,,,,,,,,,,,,,,,,
1949-10,114922.6,76375.5,68761.1,,,7614.4,,,38547.1,13737.6,10621.3,,,,,,,,,7758.4,,,,,,,,,,,,,,,,,,,,,
1949-11,114887.4,76303.2,68692.3,,,7610.9,,,38584.2,13654.8,10684.1,,,,,,,,,7893.8,,,,,,,,,,,,,,,,,,,,,
1949-12,115021.1,76367.7,68721.1,,,7646.6,,,38653.4,13595.7,10745.2,,,,,,,,,8031.8,,,,,,,,,,,,,,,,,,,,,
1950-01,116111.2,77069.6,69346.5,,,7723.1,,,39041.5,13649.3,10882,,,,,,,,,8190.5,,,,,,,,,,,,,,,,,,,,,
1950-02,116195.7,76589.6,68785.5,,,7804.1,,,39606.1,13795.7,11030.1,,,,,,,,,8356.9,,,,,,,,,,,,,,,,,,,,,
1950-03,115957.3,75744.4,67718.7,,,8025.7,,,40212.9,13953.1,11181.9,,,,,,,,,8523.2,,,,,,,,,,,,,,,,,,,,,
1950-04,116123.5,75309.9,67118.6,,,8191.3,,,40813.6,14111.9,11329.4,,,,,,,,,8694.6,,,,,,,,,,,,,,,,,,,,,
1950-05,116872.3,75509.5,67291.6,,,8217.9,,,41362.8,14251.9,11472.1,,,,,,,,,8864.7,,,,,,,,,,,,,,,,,,,,,
1950-06,117488.2,75574.1,67286.7,,,8287.4,,,41914.2,14388,11607.6,,,,,,,,,9038.6,,,,,,,,,,,,,,,,,,,,,
1950-07,117714.3,74988.8,66534.1,,,8454.7,,,42725.5,14771.2,11770.2,,,,,,,,,9212.6,,,,,,,,,,,,,,,,,,,,,
1950-08,118215.5,74524.2,65837.2,,,8687,,,43691.3,15297.5,11946.1,,,,,,,,,9392,,,,,,,,,,,,,,,,,,,,,
1950-09,118092.9,73463.7,64556.9,,,8906.8,,,44629.1,15807.5,12114.5,,,,,,,,,9570.2,,,,,,,,,,,,,,,,,,,,,
1950-10,118482.7,72956.7,63998.3,,,8958.4,,,45526.1,16310.4,12283.6,,,,,,,,,9746.2,,,,,,,,,,,,,,,,,,,,,
1950-11,118896.1,72482.3,63513.5,,,8968.8,,,46413.8,16809.2,12454.4,,,,,,,,,9924,,,,,,,,,,,,,,,,,,,,,
1950-12,119905.8,72610.8,63633.8,,,8977,,,47295,17306.1,12621.9,,,,,,,,,10099.8,,,,,,,,,,,,,,,,,,,,,
1951-01,119475.2,71414.3,62344.2,,,9070.1,,,48061,17754.2,12779.1,,,,,,,,,10186.5,,,,,,,,,,,,,,,,,,,,,
1951-02,118761.9,70051.2,60908.8,,,9142.5,,,48710.7,18186.2,12893,,,,,,,,,10212,,,,,,,,,,,,,,,,,,,,,
1951-03,118911,69531.7,60312.5,,,9219.2,,,49379.3,18636.3,13007.8,,,,,,,,,10236.5,,,,,,,,,,,,,,,,,,,,,
1951-04,119230.5,69185.3,59928.1,,,9257.2,,,50045.2,19103.1,13107.7,,,,,,,,,10262.4,,,,,,,,,,,,,,,,,,,,,
1951-05,119436.7,68762.4,59539.9,,,9222.4,,,50674.4,19551.2,13203.5,,,,,,,,,10287.8,,,,,,,,,,,,,,,,,,,,,
1951-06,120314.3,69007.8,59738.5,,,9269.3,,,51306.5,20003.1,13282.6,,,,,,,,,10314.1,,,,,,,,,,,,,,,,,,,,,
1951-07,121078.4,69347,59981.8,,,9365.2,,,51731.4,20250.9,13371.7,,,,,,,,,10353.6,,,,,,,,,,,,,,,,,,,,,
1951-08,121711.6,69711.5,60330.5,,,9381.1,,,52000.1,20367.2,13466.1,,,,,,,,,10403.5,,,,,,,,,,,,,,,,,,,,,
1951-09,122640.3,70380,60921.2,,,9458.8,,,52260.4,20477.5,13546.4,,,,,,,,,10452.3,,,,,,,,,,,,,,,,,,,,,
1951-10,123880.1,71343.6,61855.2,,,9488.5,,,52536.4,20605.3,13635.1,,,,,,,,,10500.7,,,,,,,,,,,,,,,,,,,,,
1951-11,125160.4,72342.7,62816.3,,,9526.4,,,52817.6,20732.9,13726.2,,,,,,,,,10550.1,,,,,,,,,,,,,,,,,,,,,
1951-12,126023.4,72976.4,63295,,,9681.5,,,53047,20965.7,13774.4,,,,,,,,,10553.9,,,,,,,,,,,,,,,,,,,,,
1952-01,126711.8,73214.2,63457.5,,,9756.8,,,53497.6,22131.9,13652.2,,,,,,,,,10399.8,,,,,,,,,,,,,,,,,,,,,
1952-02,126829,72825,63001,,,9824,,,54004,22431.6,13692,,,,,,,,,10455.9,,,,,,,,,,,,,,,,,,,,,
1952-03,126851.4,72554.8,62611.7,,,9943.1,,,54296.6,22376.3,13783.8,,,,,,,,,10545.8,,,,,,,,,,,,,,,,,,,,,
1952-04,126880.7,72143,62117.9,,,10025.1,,,54737.7,22138,13890.4,,,,,,,,,10613.2,,,,,,,,,,,,,,,,,,,,,
